feature,importance
attack_P1,0.790593
num_sensors_at_max,0.07718948
P1_TIT02,0.059199467
num_sensors_at_zero,0.008394957
mean_all_sensors,0.008361141
rolling_max_60,0.007162579
P1_B4022,0.0067415414
P3_FIT01,0.0061849765
P1_FCV03D,0.0058709835
P1_TIT01,0.0053150286
P1_B3004,0.003948543
rolling_mean_60,0.0038706989
rolling_mean_30,0.002809843
P1_LCV01D,0.0026740206
P4_ST_TT01,0.0024339475
std_diff_2,0.0021206355
rolling_std_60,0.001754892
P2_VXT03,0.0014667106
P1_FT01Z,0.0012583691
P1_FT01,0.00086331414
P3_LIT01,0.00059270934
P1_FCV02Z,0.0003882348
rolling_max_30,0.0003188571
P2_VYT02,0.00017170669
P1_LIT01,0.00012491336
diff_P1_B2016_P1_B4002,0.000118826036
P1_B2016,4.4565448e-05
P1_PIT02,2.6089856e-05
P2_VXT02,0.0
P1_B4005,0.0
P2_SIT01,0.0
P2_HILout,0.0
P2_CO_rpm,0.0
P1_PIT01,0.0
P1_PCV02Z,0.0
P1_PCV01D,0.0
P1_FCV02D,0.0
median_all_sensors,0.0
min_all_sensors,0.0
std_all_sensors,0.0
P4_LD,0.0
P2_VYT03,0.0
P3_LCP01D,0.0
P3_LCV01D,0.0
P3_PIT01,0.0
rolling_min_30,0.0
rolling_std_30,0.0
rolling_std_10,0.0
rolling_min_60,0.0
std_diff_1,0.0
